symbol,hurst,regime,strategy,n_trades,win_rate,pf,ev,total_pnl,span_days,ac_1,pct_spikes
JD100,0.572,TRENDING,trend_follow,868,0.42857142857142855,1.1276238192235546,0.0014872276468402227,1.2909135974573136,364,-0.004,0.0
JD75,0.57,TRENDING,trend_follow,870,0.42873563218390803,1.128800926943972,0.0011246001236216961,0.9784021075508782,364,-0.0008,0.0
BOOM300N,0.573,TRENDING,trend_follow,838,0.4236276849642005,1.10231851845323,0.000862081556890432,0.7224243446741809,364,0.0072,0.0
1HZ90V,0.562,TRENDING,trend_follow,861,0.4169570267131243,1.065527850216895,0.0005835622256588693,0.5024470762922832,364,-0.0119,0.0
RB100,0.579,TRENDING,trend_follow,681,0.461086637298091,1.2886187738656907,0.00030799591320520106,0.20974521689274211,364,-0.0057,0.0059
1HZ30V,0.562,TRENDING,trend_follow,865,0.4254335260115607,1.1030248876915814,0.000300531752381259,0.2599599658097887,364,-0.0105,0.0
CRASH300N,0.569,TRENDING,trend_follow,891,0.4074074074074074,1.0330792580145858,0.0002878227712128263,0.2564500891506275,364,0.0074,0.0
CRASH500,0.567,TRENDING,trend_follow,866,0.4284064665127021,1.12312303762189,0.00028728456512389436,0.24878843339729237,364,-0.0069,0.0
RB200,0.579,TRENDING,trend_follow,559,0.4883720930232558,1.366282860622288,0.00027889754068862566,0.1559037252449419,364,0.002,0.0191
1HZ50V,0.571,TRENDING,trend_follow,851,0.4136310223266745,1.050728282383435,0.00025251615245444094,0.21489124573872917,364,-0.0005,0.0
BOOM900,0.567,TRENDING,trend_follow,860,0.4372093023255814,1.1508501570734666,0.00023488091809873834,0.20199758956491493,364,0.0045,0.0001
BOOM1000,0.557,TRENDING,trend_follow,856,0.4380841121495327,1.1508298537313064,0.00021508160371698352,0.18410985278173836,364,-0.0029,0.0001
BOOM500,0.57,TRENDING,trend_follow,889,0.42069741282339707,1.087745667481507,0.0002099619666582342,0.18665618835917003,364,0.0055,0.0
R_10,0.574,TRENDING,trend_follow,629,0.44038155802861684,1.1855053166726472,0.0001727546384618125,0.10866266759248012,260,0.0054,0.0
BOOM600,0.572,TRENDING,trend_follow,869,0.42002301495972383,1.0802476629044513,0.00016941782429475728,0.14722408931214398,364,-0.003,0.0
R_75,0.571,TRENDING,trend_follow,625,0.4032,1.0219670306356354,0.0001634457835948339,0.10215361474677302,260,0.0033,0.0
CRASH900,0.56,TRENDING,trend_follow,880,0.42727272727272725,1.093788320517476,0.00014747184762734194,0.12977522591206092,364,0.006,0.0001
stpRNG3,0.574,TRENDING,trend_follow,890,0.4191011235955056,1.0837443886321216,0.00012219766348870289,0.10875592050494542,364,0.0001,0.0
CRASH1000,0.566,TRENDING,trend_follow,852,0.4213615023474178,1.0796847783506986,0.00011703188889926547,0.09971116934217486,364,0.0013,0.0001
R_50,0.565,TRENDING,trend_follow,611,0.40589198036006546,1.0228933632204045,0.00011370063509113029,0.06947108804068024,260,-0.011,0.0
1HZ75V,0.569,TRENDING,trend_follow,874,0.40503432494279173,1.0146158353368444,0.0001100930714535717,0.0962213444504238,364,0.0031,0.0
CRASH600,0.567,TRENDING,trend_follow,846,0.4101654846335697,1.032126681536282,6.926681313323317e-05,0.05859972391071558,364,-0.0047,0.0
CRASH50,0.567,TRENDING,trend_follow,364,0.41483516483516486,1.0773739266943092,2.8897603034530844e-05,0.01051872750456919,150,-0.0134,0.0
stpRNG2,0.576,TRENDING,trend_follow,890,0.401123595505618,1.0011277702063734,1.2120726533820098e-06,0.0010787446615097562,364,0.0058,0.0
WLDEUR,0.572,TRENDING,trend_follow,74,0.3783783783783784,0.9588974391844471,-1.8415385166582418e-05,-0.0013627385023271014,52,-0.0745,0.0006
1HZ10V,0.57,TRENDING,trend_follow,891,0.39281705948372614,0.9720601200151354,-2.8501285907969395e-05,-0.02539464574400095,364,-0.0036,0.0
CRASH150N,0.565,TRENDING,trend_follow,533,0.3808630393996248,0.9167205093786779,-4.364347092606312e-05,-0.023261970003591696,229,-0.0064,0.0
BOOM50,0.568,TRENDING,trend_follow,354,0.3728813559322034,0.8856088093829099,-4.592254045807033e-05,-0.016256579322156916,150,0.0001,0.0
BOOM150N,0.58,TRENDING,trend_follow,561,0.3761140819964349,0.9049502434465551,-4.994312766957369e-05,-0.028018094622630857,229,-0.0005,0.0
WLDGBP,0.556,TRENDING,trend_follow,65,0.38461538461538464,0.869953644631191,-7.255120293364793e-05,-0.004715828190687118,52,-0.053,0.0006
1HZ15V,0.575,TRENDING,trend_follow,873,0.38717067583046966,0.946705092116166,-8.247140680783978e-05,-0.07199753814324397,364,0.0063,0.0
JD10,0.575,TRENDING,trend_follow,888,0.3795045045045045,0.909971757548565,-0.00011354855091045462,-0.10083111320848351,364,0.0041,0.0
stpRNG4,0.58,TRENDING,trend_follow,878,0.38724373576309795,0.9503941317881792,-0.0001316826911093509,-0.11561740279401037,364,-0.003,0.0
JD25,0.567,TRENDING,trend_follow,882,0.3832199546485261,0.9438092081620947,-0.00017637363392087246,-0.15556154511820935,364,0.0046,0.0
1HZ25V,0.562,TRENDING,trend_follow,849,0.37338044758539457,0.8914780732898065,-0.0002869618044001698,-0.24363057193574417,364,-0.0127,0.0
1HZ100V,0.569,TRENDING,trend_follow,879,0.39476678043230945,0.9647444214369618,-0.00036135407579596796,-0.3176302326246545,364,-0.0036,0.0
stpRNG5,0.571,TRENDING,trend_follow,858,0.3776223776223776,0.9062842612551512,-0.000428770178289916,-0.3678848129727475,364,0.0049,0.0
R_100,0.573,TRENDING,trend_follow,610,0.38524590163934425,0.9505442768707976,-0.0005066716159403632,-0.309069685723621,260,-0.003,0.0
JD50,0.573,TRENDING,trend_follow,884,0.37895927601809953,0.9089542711983686,-0.0005731037564110763,-0.5066237206673911,364,-0.0009,0.0
WLDXAU,0.568,TRENDING,trend_follow,73,0.3424657534246575,0.7940798956916825,-0.0007905839859475121,-0.05771263097416842,52,-0.0623,0.0006
RDBEAR,0.555,TRENDING,trend_follow,596,0.35570469798657717,0.8226874553270391,-0.0029759148855908746,-1.7736452718121598,260,-0.0108,0.0
RDBULL,0.561,TRENDING,trend_follow,581,0.33907056798623064,0.764357892815,-0.00455532920252583,-2.6466462666675103,260,-0.0035,0.0
